2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.364,11.0,0.344,64.0,34,0.5,4.6,0.15,,,,0.929,14.0,,20,,32.4,15.5,,James Jones,SF,4.4,,,1.5,0.4,Cle,0.058,5.1,0.536,12.6,3.8,2015
0.375,16.0,0.571,14.0,29,1.3,12.9,0.33,,,,0.571,7.0,,6,,38.3,18.4,,Jared Dudley,SG,6.7,,,1.8,2.0,Mil,0.131,5.3,0.605,15.5,5.4,2015
0.621,29.0,0.333,9.0,22,0.3,2.7,0.75,,,,0.571,7.0,,4,,41.8,20.1,,Jared Sullinger,PF,12.3,,,7.0,0.0,Bos,0.109,19.1,0.596,25.6,5.9,2015
0.59,39.0,0.333,15.0,31,4.5,31.6,0.17,,,,1.0,13.0,,6,,53.2,25.5,,Jarrett Jack,PG,12.3,,,4.2,1.17,Bro,0.251,8.8,0.62,23.8,9.6,2015
0.538,52.0,0.354,82.0,37,2.8,14.9,0.12,,,,0.813,16.0,,17,,59.7,28.7,,Jason Terry,SG,9.2,,,2.2,0.88,Hou,0.124,4.0,0.553,13.8,5.4,2015
0.356,90.0,0.222,18.0,28,1.7,10.2,0.45,,,,0.846,26.0,,11,,56.5,27.1,,Jeff Green,SF,8.9,,,4.7,0.45,Mem,0.118,9.6,0.41,20.8,6.1,2015
0.443,174.0,0.323,65.0,26,6.7,35.3,0.44,,,,0.867,60.0,,16,,68.8,33.0,,Jeff Teague,PG,16.8,,,3.2,1.5,Atl,0.139,5.2,0.507,26.6,8.6,2015
0.357,28.0,0.286,7.0,26,3.0,25.5,0.33,,,,0.765,17.0,,6,,41.7,20.0,,Jerryd Bayless,PG,6.5,,,2.5,0.33,Mil,0.086,6.6,0.459,17.4,7.3,2015
0.468,141.0,0.389,72.0,25,3.2,14.1,0.75,,,,0.819,72.0,,12,,87.9,42.2,,Jimmy Butler,SG,22.9,,,5.6,2.42,Chi,0.079,7.3,0.562,23.9,7.0,2015
0.479,73.0,0.398,88.0,30,1.7,6.5,0.36,,,,0.943,35.0,,14,,80.4,38.6,,JJ Redick,SG,14.9,,,2.1,0.71,Lac,0.128,2.9,0.59,16.3,3.9,2015
0.408,76.0,0.0,0.0,29,3.2,15.0,1.17,,,,0.35,20.0,,12,,68.6,32.9,,Joakim Noah,C,5.8,,,11.0,0.83,Chi,0.191,18.3,0.407,12.1,7.2,2015
0.415,53.0,0.293,41.0,33,4.8,19.2,0.0,,,,0.792,24.0,,6,,86.6,41.6,,Joe Johnson,SG,16.5,,,7.7,1.17,Bro,0.046,10.0,0.473,20.1,8.2,2015
0.6,40.0,0.0,1.0,24,0.7,4.9,1.67,,,,0.357,14.0,,6,,53.0,25.4,,John Henson,C,8.8,,,8.0,0.83,Mil,0.189,16.7,0.562,17.1,5.8,2015
1.0,2.0,0.5,4.0,23,0.0,0.0,0.0,,,,0.0,0.0,,4,,11.1,5.3,,John Jenkins,SG,2.5,,,0.8,0.0,Atl,0.0,7.5,0.833,12.8,0.0,2015
0.43,93.0,0.176,17.0,24,11.9,49.8,1.43,,,,0.846,39.0,,7,,81.1,38.9,,John Wall,PG,17.4,,,4.7,1.43,Was,0.175,6.6,0.48,25.1,10.2,2015
0.375,8.0,0.0,0.0,21,0.0,0.0,0.0,,,,0.0,0.0,,1,,25.0,12.0,,Johnny O'Bryant,PF,6.0,,,3.0,0.0,Mil,0.0,13.3,0.375,30.0,0.0,2015
0.455,11.0,0.0,4.0,27,0.3,2.3,0.25,,,,0.5,2.0,,4,,35.4,17.0,,Jonas Jerebko,PF,2.8,,,3.5,0.5,Bos,0.159,11.3,0.346,12.4,3.4,2015
0.5,38.0,0.0,0.0,22,0.5,3.3,0.25,,,,0.875,8.0,,4,,55.1,26.4,,Jonas Valanciunas,C,11.3,,,9.3,0.5,Tor,0.088,19.9,0.542,19.3,5.7,2015
0.5,2.0,0.0,0.0,26,1.0,13.8,0.0,,,,0.0,0.0,,1,,25.0,12.0,,Jorge Gutierrez,PG,2.0,,,1.0,0.0,Mil,0.0,4.4,0.5,7.5,4.2,2015
0.512,41.0,0.25,16.0,30,7.4,34.2,0.0,,,,0.833,6.0,,5,,64.0,30.7,,Jose Juan Barea,PG,11.8,,,4.8,0.8,Dal,0.19,8.0,0.495,19.6,9.8,2015
0.472,123.0,0.38,71.0,29,2.7,20.6,1.0,,,,0.432,74.0,,17,,48.5,23.3,,Josh Smith,PF,13.5,,,5.6,0.53,Hou,0.144,12.6,0.505,27.9,10.1,2015
0.4,15.0,0.25,4.0,24,4.3,37.1,0.33,,,,1.0,4.0,,3,,37.9,18.2,,Jrue Holiday,PG,6.3,,,1.0,0.67,Nor,0.194,3.1,0.458,21.6,6.6,2015
0.494,83.0,0.423,26.0,23,2.6,12.4,0.57,,,,0.771,35.0,,7,,74.5,35.8,,Kawhi Leonard,SF,20.3,,,7.4,1.14,San,0.108,11.1,0.571,25.0,8.2,2015
